stan,avg_freight,avg_cena,freight_pct
RR,42.98,150.57,28.5
MA,38.3,145.26,26.4
RO,41.22,166.18,24.8
PI,39.29,160.67,24.5
AM,33.21,135.5,24.5
SE,36.75,153.18,24.0
TO,37.37,157.81,23.7
AC,40.07,173.73,23.1
RN,35.86,157.35,22.8
PE,33.06,145.74,22.7
PB,43.01,192.02,22.4
PA,35.87,165.78,21.6
CE,32.91,154.02,21.4
AP,34.43,165.12,20.8
AL,36.25,182.1,19.9
BA,26.49,134.81,19.7
MT,28.27,148.55,19.0
ES,22.19,121.9,18.2
RS,21.79,120.39,18.1
GO,22.88,126.43,18.1
SC,21.56,124.77,17.3
PR,20.61,119.13,17.3
MG,20.72,120.91,17.1
RJ,21.09,125.28,16.8
DF,21.09,125.89,16.8
MS,23.49,142.99,16.4
SP,15.18,109.65,13.8
