stan,rok,negatywnych
SP,2016,35
RJ,2016,22
MG,2016,13
RS,2016,8
SC,2016,4
PR,2016,3
DF,2016,2
MT,2016,2
AL,2016,1
BA,2016,1
CE,2016,1
ES,2016,1
GO,2016,1
PE,2016,1
RR,2016,1
SP,2017,2133
RJ,2017,984
MG,2017,627
RS,2017,313
BA,2017,264
PR,2017,246
SC,2017,232
DF,2017,134
GO,2017,125
PE,2017,121
ES,2017,118
CE,2017,96
MA,2017,70
PA,2017,70
MT,2017,57
AL,2017,47
PB,2017,39
SE,2017,38
MS,2017,35
RN,2017,33
PI,2017,31
RO,2017,21
TO,2017,13
AC,2017,10
AM,2017,9
AP,2017,1
RR,2017,1
SP,2018,3039
RJ,2018,1598
MG,2018,883
RS,2018,400
PR,2018,371
BA,2018,365
SC,2018,288
DF,2018,181
ES,2018,180
GO,2018,170
CE,2018,163
PE,2018,152
PA,2018,117
MA,2018,92
MS,2018,69
MT,2018,64
PI,2018,59
AL,2018,49
PB,2018,49
SE,2018,38
RN,2018,35
TO,2018,24
RO,2018,18
AM,2018,13
RR,2018,9
AP,2018,4
AC,2018,2
